"EFN","Phy","matched_name"
1,"Banisteriopsis argentea","Banisteriopsis argentea"
1,"Banisteriopsis campestris","Banisteriopsis campestris"
1,"Banisteriopsis carolina","Banisteriopsis carolina"
1,"Banisteriopsis cornifolia","Banisteriopsis cornifolia"
1,"Banisteriopsis laevifolia","Banisteriopsis laevifolia"
1,"Banisteriopsis malifolia","Banisteriopsis malifolia"
1,"Banisteriopsis mariae","Banisteriopsis mariae"
1,"Banisteriopsis muricata","Banisteriopsis muricata"
1,"Banisteriopsis stellaris","Banisteriopsis stellaris"
1,"Banisteriopsis vernoniifolia","Banisteriopsis vernoniifolia"
1,"Baptisia leucophylla","Baptisia leucophaea"
1,"Barleria diacantha","Barleria diacantha"
1,"Barleria eranthemoides","Barleria eranthemoides"
1,"Barleria trispinosa","Barleria trispinosa"
1,"Barnhartia spp.","Barnhartia gleason"
1,"Barteria dewevrei","Barteria dewevrei"
1,"Barteria fistulosa","Barteria fistulosa"
1,"Barteria nigritana","Barteria nigritana"
1,"Barteria solida","Barteria solida"
1,"Barteria spp.","Barteria hook."
1,"Basananthe littoralis","Basananthe littoralis"
1,"Basananthe zanaibaricum","Basananthe zanzibarica"
1,"Bauhinia blakeana","Bauhinia blakeana"
1,"Bauhinia cheilantha","Bauhinia cheilantha"
1,"Bauhinia corniculata","Bauhinia corniculata"
1,"Bauhinia forficata","Bauhinia forficata"
1,"Bauhinia macranthera","Bauhinia macranthera"
1,"Bauhinia pauletia","Bauhinia pauletia"
1,"Bauhinia rufa","Bauhinia rufa"
1,"Bauhinia ungulata","Bauhinia ungulata"
1,"Bauhinia yunnanensis","Bauhinia yunnanensis"
1,"Benincasa hispida","Benincasa hispida"
1,"Bernardia similis","Bernardia similis"
1,"Bidens pillosa","Bidens pilosa"
1,"Bignonia aequinoctialis","Bignonia aequinoctialis"
1,"Bignonia binata","Bignonia binata"
1,"Bignonia bracteomana","Bignonia bracteomana"
1,"Bignonia callistegioides","Bignonia callistegioides"
1,"Bignonia capreolata","Bignonia capreolata"
1,"Bignonia carolinae","Bignonia carolinae"
1,"Bignonia corymbosa","Bignonia corymbosa"
1,"Bignonia diversiflora","Bignonia diversifolia"
1,"Bignonia heterophylla","Bignonia heterophylla"
1,"Bignonia hyacnthina","Bignonia hyacinthina"
1,"Bignonia microcalyx","Bignonia microcalyx"
1,"Bignonia nocturna","Bignonia nocturna"
1,"Bignonia prieurei","Bignonia prieurei"
